Title:       ,Sunset_PID
 2.7682760 , 8.2961760
 2.7674820 , 8.2955710
 2.7680450 , 8.2951700
 2.7686420 , 8.2948090
 2.7685760 , 8.2944070
 2.7688220 , 8.2938480
 2.7694320 , 8.2931960
 2.7696530 , 8.2930630
 2.7696620 , 8.2924480
 2.7699360 , 8.2921210
 2.7701620 , 8.2916740
 2.7706960 , 8.2911790
 2.7708550 , 8.2910410
 2.7707970 , 8.2905720
 2.7718150 , 8.2902590
 2.7717130 , 8.2897500
 2.7717130 , 8.2894960
 2.7718310 , 8.2892810
 2.7721490 , 8.2885260
 2.7728920 , 8.2881190
 2.7727610 , 8.2879600
 2.7728830 , 8.2875300
 2.7731820 , 8.2870700
 2.7740290 , 8.2867670
 2.7736170 , 8.2866060
 2.7757590 , 8.2857580
 2.7745480 , 8.2853910
 2.7756550 , 8.2851010
 2.7753420 , 8.2846410
 2.7757160 , 8.2842210
 2.7760660 , 8.2836240
 2.7766870 , 8.2833360
 2.7763700 , 8.2829920
 2.7771110 , 8.2827080
 2.7771980 , 8.2821210
 2.7772380 , 8.2817050
 2.7774330 , 8.2817150
 2.7775580 , 8.2811140
 2.7805540 , 8.2806690
 2.7783810 , 8.2804600
 2.7785790 , 8.2800530
 2.7789570 , 8.2797770
 2.7799370 , 8.2791230
 2.7797120 , 8.2788580
 2.7795710 , 8.2784900
 2.7800290 , 8.2780960
 2.7806330 , 8.2777030
 2.7804980 , 8.2771590
 2.7805400 , 8.2773600
 2.7813510 , 8.2765150
 2.7812330 , 8.2759210
 2.7834030 , 8.2758250
 2.7821030 , 8.2755110
 2.7821110 , 8.2750390
 2.7825290 , 8.2744530
 2.7826210 , 8.2743740
 2.7836300 , 8.2737860
 2.7829940 , 8.2735780
 2.7831940 , 8.2730570
 2.7841520 , 8.2725940
 2.7836970 , 8.2725500
 2.7838760 , 8.2719800
 2.7842290 , 8.2714150
 2.7845900 , 8.2711200
 2.7846150 , 8.2707980
 2.7847440 , 8.2703670
 2.7857990 , 8.2699370
 2.7852390 , 8.2696620
 2.7855110 , 8.2691710
 2.7859750 , 8.2689130
 2.7859950 , 8.2684000
 2.7875500 , 8.2681390
 2.7867540 , 8.2679040
 2.7868510 , 8.2672810
 2.7870750 , 8.2669660
 2.7873620 , 8.2664430
 2.7883670 , 8.2661840
 2.7876220 , 8.2657920
 2.7891140 , 8.2652410
 2.7892840 , 8.2649010
 2.7886670 , 8.2646880
 2.7889880 , 8.2643970
 2.7894540 , 8.2639670
 2.7895010 , 8.2633980
 2.7893580 , 8.2631570
 2.7898890 , 8.2628000
 2.7903510 , 8.2623520
 2.7902680 , 8.2618800
 2.7904550 , 8.2616630
 2.7907180 , 8.2614410
 2.7907370 , 8.2607580
 2.7910340 , 8.2606170
 2.7916140 , 8.2600630
 2.7912170 , 8.2599590
 2.7916030 , 8.2594760
 2.7924750 , 8.2589500
 2.7919880 , 8.2589130
 2.7922510 , 8.2581670
 2.7936000 , 8.2581140
 2.7927020 , 8.2576080
 2.7930410 , 8.2571650
 2.7939120 , 8.2570000
 2.7935590 , 8.2564160
 2.7938290 , 8.2562580
 2.7946450 , 8.2558820
 2.7958490 , 8.2556610
 2.7947630 , 8.2552780
 2.7957340 , 8.2547250
 2.7951640 , 8.2548420
 2.7954380 , 8.2541420
 2.7966060 , 8.2538520
 2.7959550 , 8.2534830
 2.7979670 , 8.2531190
 2.7974580 , 8.2529830
 2.7969610 , 8.2522750
 2.7973690 , 8.2520320
 2.7978600 , 8.2517290
 2.7978140 , 8.2513040
 2.7977370 , 8.2510010
 2.7980940 , 8.2506060
 2.7985420 , 8.2503930
 2.7982710 , 8.2501200
 2.7984440 , 8.2495210
 2.7984450 , 8.2494220
 2.7989250 , 8.2490260
 2.7987010 , 8.2486970
 2.7989350 , 8.2480840
 2.7998230 , 8.2478100
 2.7991720 , 8.2475920
 2.7994490 , 8.2472860
 2.8001060 , 8.2469970
 2.7998740 , 8.2463830
 2.7999270 , 8.2461650
 2.8007730 , 8.2459570
 2.8004180 , 8.2456200
 2.8005790 , 8.2451430
 2.8014870 , 8.2449000
 2.8008750 , 8.2445860
 2.8012920 , 8.2439920
 2.8017420 , 8.2437310
